1	4652154711
2	253593765
3	46922035
4	18239910
5	10588866
6	7475578
7	5766964
8	4750098
9	4096619
10	3673044
11	3429267
12	3301331
13	3265205
14	3312352
15	3402761
16	3531792
17	3687993
18	3879416
19	4093352
20	4319018
21	4577474
22	4849208
23	5123700
24	5415416
25	5716652
26	6027029
27	6321112
28	6597417
29	6865280
30	7097705
31	7279943
32	7398547
33	7474916
34	7497808
35	7461510
36	7367056
37	7218646
38	7017195
39	6785326
40	6508648
41	6202308
42	5883456
43	5560439
44	5242386
45	4927681
46	4635527
47	4359451
48	4118498
49	3901587
50	3712704
51	3562593
52	3440018
53	3343644
54	3271233
55	3228436
56	3213926
57	3217132
58	3234694
59	3265978
60	3306605
61	3361952
62	3419756
63	3481219
64	3541231
65	3603174
66	3658441
67	3710117
68	3756049
69	3792219
70	3827613
71	3846800
72	3855703
73	3848716
74	3830033
75	3794481
76	3752232
77	3699379
78	3636586
79	3560217
80	3470875
81	3375275
82	3269823
83	3159604
84	3039518
85	2913133
86	2787426
87	2655345
88	2517337
89	2383773
90	2246310
91	2111897
92	1981968
93	1853108
94	1720950
95	1600231
96	1482673
97	1371426
98	1269565
99	1170223
100	1076469
101	989489
102	908137
103	832219
104	764271
105	702128
106	642423
107	590549
108	541353
109	497736
110	456777
111	421511
112	391721
113	362218
114	337569
115	314200
116	293811
117	276583
118	260522
119	245952
120	234219
121	222305
122	212718
123	203881
124	195573
125	187816
126	182127
127	175448
128	170691
129	166513
130	162842
131	158416
132	154570
133	150925
134	148046
135	144127
136	142026
137	139601
138	136184
139	134626
140	131537
141	129382
142	127931
143	124881
144	123496
145	121555
146	119681
147	118507
148	116193
149	114310
150	113266
151	110904
152	109843
153	107866
154	105303
155	103766
156	102283
157	102018
158	100305
159	97772
160	96508
161	94891
162	92559
163	91177
164	89682
165	86977
166	85974
167	84822
168	82728
169	81127
170	79257
171	77812
172	76110
173	75400
174	73807
175	71988
176	70098
177	69424
178	67384
179	66533
180	64591
181	64124
182	62278
183	61035
184	60017
185	58697
186	57467
187	56504
188	54731
189	53794
190	52496
191	51335
192	50606
193	49595
194	48651
195	48016
196	46826
197	45881
198	45406
199	44245
200	43720
201	42724
202	41380
203	41232
204	40275
205	40150
206	39052
207	38450
208	37768
209	37516
210	37035
211	36154
212	35544
213	34986
214	34891
215	34199
216	33940
217	33316
218	32318
219	32083
220	31686
221	30995
222	30874
223	30386
224	30099
225	29757
226	29378
227	28816
228	28547
229	28268
230	27769
231	27412
232	27263
233	26916
234	26791
235	26375
236	25765
237	25653
238	25368
239	24847
240	24513
241	24156
242	23932
243	23741
244	23346
245	23520
246	22979
247	22769
248	22658
249	22089
250	21844
251	21564
252	21334
253	21273
254	20946
255	20477
256	20253
257	19828
258	19664
259	19453
260	19012
261	19547
262	18838
263	18654
264	18526
265	18223
266	18071
267	17875
268	17598
269	17642
270	17297
271	17528
272	17078
273	16871
274	16494
275	16547
276	16296
277	16022
278	15792
279	15670
280	15614
281	15082
282	15073
283	14817
284	14633
285	14647
286	14360
287	14265
288	14254
289	14404
290	14164
291	13568
292	13525
293	13679
294	13356
295	13276
296	13101
297	12846
298	12696
299	12646
300	12511
301	12396
302	12283
303	12341
304	12203
305	12053
306	11920
307	11935
308	11822
309	11661
310	11721
311	11734
312	11560
313	11308
314	11221
315	11112
316	11153
317	11124
318	10810
319	10667
320	10813
321	10599
322	10355
323	10417
324	10351
325	10176
326	9804
327	10042
328	9859
329	9761
330	9688
331	9718
332	9487
333	9192
334	9405
335	9294
336	9155
337	8934
338	8904
339	8855
340	8804
341	8838
342	8571
343	8717
344	8641
345	8684
346	8521
347	8373
348	8525
349	8250
350	8230
351	8172
352	8205
353	8140
354	8000
